epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/IoU_crack(M),metrics/IoU_background(M),metrics/mIoU(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,318.125,0.70375,1.12211,0.70761,1.10427,0.83367,0.73746,0.82876,0.57951,0.83595,0.72752,0.80386,0.46407,0.37046,0.87304,0.62175,1.003,0.99215,1.03885,1.22535,0.0017525,0.0017525,0.0017525
27,330.056,0.69139,1.10886,0.69202,1.08439,0.72752,0.74933,0.77088,0.52715,0.79279,0.69755,0.76478,0.46083,0.53361,0.93545,0.73453,1.07768,0.8732,1.11298,1.28906,0.0017426,0.0017426,0.0017426
28,341.928,0.70348,1.11274,0.7034,1.09383,0.82765,0.76158,0.83867,0.61555,0.82538,0.76158,0.82814,0.50707,0.58095,0.94458,0.76277,0.94557,0.97414,0.97712,1.20669,0.0017327,0.0017327,0.0017327
29,353.949,0.69858,1.04617,0.68656,1.09775,0.86439,0.78156,0.87018,0.64093,0.85574,0.79198,0.86473,0.53535,0.3712,0.87119,0.6212,0.92022,0.80049,0.90327,1.17367,0.0017228,0.0017228,0.0017228
30,365.804,0.68882,1.06312,0.67956,1.09535,0.78084,0.79019,0.82372,0.59485,0.81092,0.76975,0.82183,0.49699,0.54305,0.93659,0.73982,0.95609,0.84623,1.05068,1.21165,0.0017129,0.0017129,0.0017129
31,377.804,0.69504,1.09756,0.70004,1.09502,0.84812,0.77597,0.85854,0.62107,0.85139,0.77112,0.84039,0.51413,0.46435,0.91234,0.68834,0.97858,0.88793,0.98428,1.20692,0.001703,0.001703,0.001703
32,389.763,0.68246,1.09386,0.6813,1.08095,0.79115,0.78202,0.84039,0.6054,0.77155,0.797,0.83502,0.50389,0.34698,0.85835,0.60267,0.93454,0.8656,1.06625,1.18484,0.0016931,0.0016931,0.0016931
33,401.81,0.68002,1.0643,0.68319,1.08195,0.86457,0.76022,0.86846,0.65412,0.85827,0.74796,0.84727,0.52567,0.61352,0.9543,0.78391,0.88881,0.85199,0.94793,1.14534,0.0016832,0.0016832,0.0016832
34,413.785,0.67264,1.07957,0.67879,1.07885,0.79935,0.73161,0.80745,0.60749,0.79016,0.72343,0.78528,0.46909,0.28499,0.80857,0.54678,0.91614,0.98233,1.11457,1.19321,0.0016733,0.0016733,0.0016733
35,425.731,0.66701,1.109,0.67408,1.07507,0.78403,0.75673,0.8172,0.59664,0.81522,0.74932,0.8199,0.51623,0.20194,0.69341,0.44767,0.94979,0.89687,1.0037,1.18638,0.0016634,0.0016634,0.0016634
36,437.622,0.67377,1.06321,0.67415,1.08885,0.74856,0.75037,0.78394,0.56784,0.77374,0.73978,0.77922,0.47133,0.62262,0.95586,0.78924,0.95179,0.87954,1.10151,1.20068,0.0016535,0.0016535,0.0016535
37,449.488,0.66204,1.09799,0.66075,1.0713,0.83709,0.74523,0.8448,0.62903,0.83832,0.75204,0.83807,0.52241,0.52034,0.93185,0.7261,0.93505,0.8587,0.94628,1.15446,0.0016436,0.0016436,0.0016436
38,461.502,0.65632,1.08108,0.65213,1.0699,0.80733,0.78779,0.86484,0.63706,0.82671,0.77343,0.84753,0.54237,0.7888,0.98016,0.88448,0.90823,0.82239,0.95652,1.14759,0.0016337,0.0016337,0.0016337
39,473.425,0.65509,1.06352,0.64699,1.06529,0.82109,0.80033,0.87162,0.66555,0.81658,0.78848,0.84233,0.54931,0.48493,0.9227,0.70382,0.89607,0.90752,0.88971,1.12172,0.0016238,0.0016238,0.0016238
40,485.342,0.65841,1.07847,0.66374,1.07585,0.84038,0.77112,0.87008,0.66352,0.85337,0.77657,0.86424,0.55655,0.76452,0.97692,0.87072,0.85893,0.82239,0.85686,1.07545,0.0016139,0.0016139,0.0016139
41,497.313,0.65666,1.06918,0.63861,1.06687,0.7962,0.80904,0.85912,0.65567,0.82464,0.77521,0.84867,0.5403,0.6094,0.95083,0.78011,0.84711,0.82223,0.92299,1.11554,0.001604,0.001604,0.001604
42,509.436,0.63757,1.06793,0.6382,1.05979,0.86416,0.76431,0.86892,0.66304,0.84608,0.75477,0.83571,0.52552,0.46199,0.91263,0.68731,0.87491,0.88803,0.95319,1.10961,0.0015941,0.0015941,0.0015941
43,521.336,0.64706,1.06181,0.64309,1.06627,0.78647,0.80518,0.8593,0.65314,0.82877,0.79292,0.86118,0.54253,0.74217,0.97398,0.85808,0.85379,0.79146,0.96927,1.10619,0.0015842,0.0015842,0.0015842
44,533.196,0.63882,1.02467,0.62282,1.06124,0.87234,0.782,0.88409,0.688,0.87887,0.78065,0.87454,0.56519,0.67761,0.96454,0.82108,0.83963,0.79942,0.84795,1.08751,0.0015743,0.0015743,0.0015743
45,545.119,0.62031,1.03487,0.62637,1.05074,0.83329,0.79292,0.87901,0.67774,0.87763,0.76158,0.86177,0.52643,0.749,0.97627,0.86263,0.86172,0.89712,0.85833,1.14198,0.0015644,0.0015644,0.0015644
46,557.066,0.63443,1.02672,0.60823,1.06555,0.78178,0.73706,0.82193,0.6314,0.79423,0.73094,0.80481,0.52005,0.65915,0.96166,0.81041,0.91931,0.90147,0.96257,1.15436,0.0015545,0.0015545,0.0015545
47,569.099,0.62864,1.02584,0.62114,1.05577,0.86815,0.78883,0.87524,0.67596,0.86164,0.79428,0.86611,0.55322,0.68322,0.96606,0.82464,0.82407,0.79881,0.85009,1.08102,0.0015446,0.0015446,0.0015446
48,581.046,0.62957,1.01444,0.60205,1.05834,0.81617,0.76217,0.85052,0.65547,0.83481,0.77112,0.85372,0.5499,0.68911,0.96565,0.82738,0.89086,0.80725,0.91626,1.13695,0.0015347,0.0015347,0.0015347
49,593.065,0.61188,1.01193,0.60406,1.04731,0.82918,0.81335,0.86266,0.65417,0.81932,0.79564,0.83633,0.51884,0.45661,0.91257,0.68459,0.84176,0.88757,0.90769,1.08941,0.0015248,0.0015248,0.0015248
50,604.983,0.62644,1.02081,0.60747,1.05678,0.86602,0.78377,0.87598,0.698,0.86677,0.79155,0.86317,0.56317,0.72579,0.97185,0.84882,0.78068,0.77677,0.79883,1.06766,0.0015149,0.0015149,0.0015149
51,616.945,0.60636,0.98183,0.5948,1.04363,0.85179,0.80109,0.87662,0.69399,0.84013,0.81471,0.87501,0.56492,0.53818,0.93532,0.73675,0.78491,0.78813,0.82062,1.06851,0.001505,0.001505,0.001505
52,628.813,0.62088,1.05089,0.61328,1.05046,0.88394,0.76786,0.88136,0.69047,0.88159,0.78065,0.87655,0.55725,0.40704,0.89031,0.64868,0.78541,0.81176,0.84903,1.06146,0.0014951,0.0014951,0.0014951
53,640.67,0.63207,1.04896,0.60831,1.05107,0.86402,0.78779,0.86848,0.67116,0.84909,0.7752,0.85089,0.5212,0.3386,0.84955,0.59408,0.84341,0.85138,0.86029,1.13819,0.0014852,0.0014852,0.0014852
54,652.593,0.62463,1.03338,0.61373,1.05832,0.78802,0.74957,0.82531,0.6154,0.80214,0.75204,0.82028,0.50581,0.74405,0.97474,0.85939,0.89358,0.86989,0.98467,1.1239,0.0014753,0.0014753,0.0014753
55,664.526,0.61352,1.0124,0.59634,1.04998,0.85508,0.79837,0.86865,0.68949,0.86191,0.80926,0.87133,0.55567,0.69835,0.96721,0.83278,0.7854,0.80518,0.83389,1.05113,0.0014654,0.0014654,0.0014654
56,676.543,0.60336,1.01098,0.58672,1.03695,0.84907,0.77248,0.86995,0.66831,0.86011,0.77657,0.86059,0.5664,0.73688,0.97244,0.85466,0.82135,0.79031,0.89903,1.09759,0.0014555,0.0014555,0.0014555
57,688.348,0.60718,1.01228,0.59151,1.04864,0.88517,0.74387,0.86274,0.68047,0.90495,0.74523,0.87189,0.55771,0.65934,0.96041,0.80987,0.79524,0.80787,0.8501,1.03988,0.0014456,0.0014456,0.0014456
